id,number,project_id,patch_type,is_conflicting,is_done
1,13041,1,MO,1,1
2,12592,1,MO,0,1
3,13132,1,MO,1,1
4,13089,1,MO,1,1
5,12639,1,MO,0,1
6,13050,1,MO,1,1
7,13044,1,MO,0,1
8,13032,1,MO,0,1
9,12585,1,MO,1,1
10,12660,1,MO,1,1
11,13025,1,MO,1,1
12,13023,1,MO,1,1
13,13022,1,MO,0,1
14,12681,1,MO,1,1
15,13014,1,MO,1,1
16,13141,1,MO,1,1
17,12584,1,MO,0,1
18,12984,1,MO,1,1
19,13207,1,MO,1,1
20,12533,1,MO,1,1
21,12535,1,MO,1,1
22,13233,1,MO,0,1
23,12539,1,MO,0,1
24,13219,1,MO,1,1
25,13212,1,MO,1,1
26,13206,1,MO,0,1
27,12578,1,MO,1,1
28,12568,1,MO,1,1
29,12749,1,MO,1,1
30,13178,1,MO,1,1
31,13175,1,MO,0,1
32,13168,1,MO,1,1
33,12683,1,MO,0,1
34,12693,1,MO,0,1
35,12519,1,MO,1,1
36,12789,1,MO,1,1
37,12829,1,MO,1,1
38,12822,1,MO,1,1
39,12813,1,MO,1,1
40,12808,1,MO,1,1
41,12735,1,MO,1,1
42,12840,1,MO,0,1
43,12774,1,MO,1,1
44,12772,1,MO,1,1
45,12771,1,MO,1,1
46,12753,1,MO,0,1
47,12752,1,MO,1,1
48,12836,1,MO,1,1
49,12841,1,MO,1,1
50,12959,1,MO,1,1
51,12915,1,MO,0,1
52,12939,1,MO,0,1
53,12935,1,MO,1,1
54,12931,1,MO,0,1
55,12921,1,MO,0,1
56,12920,1,MO,0,1
57,12842,1,MO,1,1
58,12908,1,MO,0,1
59,12875,1,MO,1,1
60,12720,1,MO,1,1
61,12861,1,MO,1,1
62,12721,1,MO,0,1
63,12532,1,MO,1,1
64,12518,1,MO,1,1
65,12335,1,MO,0,1
66,12412,1,MO,1,1
67,12408,1,MO,1,1
68,13512,1,MO,1,1
69,13548,1,MO,1,1
70,12398,1,MO,0,1
71,13607,1,MO,1,1
72,12373,1,MO,1,1
73,12363,1,MO,1,1
74,12329,1,MO,0,1
75,13477,1,MO,1,1
76,12325,1,MO,0,1
77,12323,1,MO,0,1
78,12322,1,MO,0,1
79,12320,1,MO,0,1
80,12295,1,MO,1,1
81,12289,1,MO,1,1
82,12288,1,MO,1,1
83,12250,1,MO,1,1
84,13758,1,MO,1,1
85,12244,1,MO,1,1
86,13767,1,MO,0,1
87,12415,1,MO,1,1
88,12751,1,MO,0,1
89,12478,1,MO,1,1
90,12447,1,MO,1,1
91,12434,1,MO,1,1
92,13386,1,MO,1,1
93,13424,1,MO,1,1
94,13427,1,MO,0,1
95,13372,1,MO,0,1
96,12432,1,MO,0,1
97,12454,1,MO,1,1
98,12428,1,MO,0,1
99,12468,1,MO,0,1
100,13325,1,MO,0,1
101,13348,1,MO,0,1
102,12486,1,MO,1,1
103,14343,1,MO,0,1
104,14026,1,MO,1,1
105,14088,1,MO,1,1
106,14078,1,MO,0,1
107,14483,1,MO,1,1
108,14046,1,MO,1,1
109,14039,1,MO,1,1
110,14490,1,MO,0,1
111,14493,1,MO,0,1
112,14495,1,MO,0,1
113,14500,1,MO,0,1
114,13938,1,MO,0,1
115,14011,1,MO,0,1
116,13992,1,MO,0,1
117,14533,1,MO,1,1
118,14269,1,MO,1,1
119,14545,1,MO,1,1
120,14550,1,MO,0,1
121,14574,1,MO,0,1
122,13957,1,MO,0,1
123,14439,1,MO,0,1
124,14437,1,MO,1,1
125,14281,1,MO,1,1
126,14216,1,MO,1,1
127,14297,1,MO,1,1
128,14300,1,MO,0,1
129,14303,1,MO,1,1
130,14313,1,MO,1,1
131,14317,1,MO,1,1
132,14177,1,MO,1,1
133,14379,1,MO,1,1
134,14151,1,MO,1,1
135,14149,1,MO,1,1
136,14123,1,MO,0,1
137,14427,1,MO,1,1
138,14589,1,MO,1,1
139,14539,1,MO,0,1
140,14674,1,MO,0,1
141,13917,1,MO,0,1
142,13884,1,MO,1,1
143,13885,1,MO,1,1
144,13887,1,MO,1,1
145,13888,1,MO,1,1
146,13867,1,MO,0,1
147,14704,1,MO,1,1
148,14683,1,MO,1,1
149,13902,1,MO,0,1
150,14810,1,MO,0,1
151,13912,1,MO,0,1
152,14813,1,MO,1,1
153,13883,1,MO,0,1
154,13920,1,MO,1,1
155,14628,1,MO,1,1
156,14635,1,MO,1,1
157,13811,1,MO,1,1
158,13810,1,MO,0,1
159,13806,1,MO,1,1
160,14637,1,MO,0,1
161,16170,1,MO,1,1
162,15661,1,MO,0,1
163,15469,1,MO,1,1
164,15674,1,MO,1,1
165,15691,1,MO,1,1
166,15698,1,MO,0,1
167,15215,1,MO,1,1
168,15707,1,MO,1,1
169,15713,1,MO,1,1
170,15722,1,MO,1,1
171,15723,1,MO,0,1
172,15098,1,MO,0,1
173,15449,1,MO,0,1
174,15737,1,MO,0,1
175,15742,1,MO,0,1
176,15744,1,MO,1,1
177,15437,1,MO,0,1
178,15434,1,MO,0,1
179,15077,1,MO,0,1
180,15474,1,MO,1,1
181,15778,1,MO,0,1
182,15636,1,MO,1,1
183,15541,1,MO,1,1
184,15542,1,MO,1,1
185,15549,1,MO,0,1
186,15517,1,MO,1,1
187,15558,1,MO,1,1
188,15510,1,MO,1,1
189,15508,1,MO,0,1
190,15570,1,MO,1,1
